country,id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Canada,124,276064000000,307246000000,314639000000,341863000000,356728000000,366184000000,379015000000,433140000000,509380000000,567225000000,596089000000,612514000000,594376000000,579059000000,579913000000,605941000000,630598000000,655010000000,634004000000,678417000000,744631000000,738968000000,760149000000,895599000000,1026473000000,1173505000000,1319356000000,1468896000000,1552864000000,1376509000000,1617345000000,1793327000000,1828362000000,1846595000000,1805751000000,1556508000000,1527996000000,1649266000000,1725300000000,1743725000000,1655685000000,2022382000000,2190411000000,2173340000000,2241253000000,2225341000000,2332563000000,2435529000000,2542339000000,2657894000000,2792323000000
Central African Republic,140,714000000,743000000,719000000,690000000,670000000,883000000,1158000000,1275000000,1372000000,1354000000,1572000000,1498000000,1494000000,1309000000,858000000,1117000000,1000000000,979000000,1036000000,1039000000,868000000,899000000,983000000,1188000000,1310000000,1413000000,1538000000,1755000000,2033000000,2059000000,2141000000,2435000000,2512000000,1692000000,1896000000,1696000000,1825000000,2072000000,2280000000,2279000000,2389000000,2585000000,2460000000,2602000000,2831000000,2932000000,3187000000,3547000000,3764000000,4010000000,4279000000
Chad,148,958000000,1133000000,1095000000,1096000000,1177000000,1275000000,1570000000,1780000000,2081000000,1966000000,2369000000,2347000000,2446000000,2138000000,1732000000,2123000000,2360000000,2268000000,2561000000,2256000000,2039000000,2512000000,2928000000,4025000000,6490000000,8660000000,9710000000,10867000000,13384000000,12304000000,14070000000,16682000000,17904000000,17866000000,18149000000,14561000000,13023000000,13344000000,15334000000,14906000000,14954000000,16881000000,17867000000,18343000000,19078000000,18792000000,19732000000,20675000000,21769000000,22898000000,24120000000
Chile,152,29032000000,34374000000,25630000000,20819000000,20246000000,17360000000,18662000000,22010000000,25947000000,29889000000,33231000000,38249000000,46597000000,49855000000,57517000000,74119000000,78575000000,85730000000,81996000000,75596000000,78250000000,71517000000,70295000000,76508000000,99079000000,122315000000,153840000000,172565000000,179663000000,171794000000,217105000000,251225000000,267165000000,277218000000,259394000000,242515000000,249306000000,276357000000,295428000000,278040000000,254060000000,315411000000,301270000000,335627000000,330210000000,343823000000,357690000000,373212000000,389242000000,405801000000,422793000000
China,156,303550000000,289215000000,285139000000,306013000000,314832000000,310709000000,301471000000,328305000000,409363000000,458985000000,397359000000,415946000000,495515000000,621918000000,566297000000,737654000000,868770000000,967886000000,1035510000000,1101134000000,1220337000000,1351372000000,1486618000000,1680942000000,1978937000000,2325515000000,2797286000000,3612210000000,4653314000000,5176180000000,6138992000000,7624861000000,8682939000000,9782784000000,10701415000000,11307226000000,11448003000000,12503299000000,14110963000000,14572410000000,15103357000000,18190803000000,18307816000000,18270351000000,18748009000000,19231705000000,20375858000000,21706811000000,23102978000000,24454647000000,25827523000000
Colombia,170,46501000000,50661000000,54252000000,53920000000,53257000000,48581000000,48648000000,50640000000,54592000000,55048000000,56071000000,57954000000,68579000000,77721000000,97665000000,110564000000,116130000000,127490000000,117725000000,103132000000,99270000000,97606000000,97353000000,94072000000,116382000000,145600000000,161793000000,206230000000,242504000000,232469000000,286499000000,334966000000,370692000000,382094000000,381241000000,293493000000,282720000000,311890000000,334124000000,323055000000,270348000000,318525000000,345632000000,366292000000,418542000000,427766000000,445650000000,466154000000,488083000000,510905000000,534345000000
Comoros,174,243000000,213000000,202000000,196000000,189000000,192000000,258000000,313000000,336000000,329000000,402000000,401000000,437000000,428000000,315000000,393000000,392000000,363000000,364000000,372000000,340000000,373000000,427000000,547000000,622000000,656000000,689000000,796000000,916000000,904000000,909000000,1023000000,1016000000,1116000000,1150000000,966000000,1013000000,1077000000,1179000000,1188000000,1218000000,1273000000,1223000000,1335000000,1456000000,1548000000,1653000000,1754000000,1857000000,1966000000,2087000000
"Congo, Dem. Rep.",180,68606000000,59726000000,64939000000,52378000000,34951000000,31943000000,35840000000,33932000000,39314000000,40006000000,41448000000,40250000000,36333000000,47450000000,25746000000,25021000000,32099000000,28819000000,21089000000,19147000000,19077000000,7246000000,8720000000,9022000000,10275000000,12720000000,15403000000,18598000000,22665000000,18626000000,22340000000,26406000000,30074000000,34908000000,38355000000,40154000000,38086000000,39461000000,48037000000,50891000000,49613000000,55327000000,63324000000,64402000000,71011000000,79119000000,84848000000,90631000000,97106000000,103903000000,110781000000
"Congo, Rep.",178,2165000000,1775000000,1548000000,1407000000,1294000000,1327000000,1815000000,2205000000,2346000000,2478000000,2909000000,3035000000,3280000000,3004000000,2068000000,2457000000,2840000000,2568000000,2240000000,2646000000,3624000000,3038000000,3330000000,3863000000,5101000000,6654000000,8073000000,8784000000,11649000000,9713000000,13159000000,15653000000,17704000000,17959000000,17918000000,11891000000,10928000000,11830000000,14781000000,13977000000,11485000000,13387000000,13967000000,14169000000,14893000000,15281000000,16190000000,17290000000,18528000000,19846000000,21223000000
Costa Rica,188,4854000000,2636000000,2619000000,3162000000,3678000000,3941000000,4425000000,4554000000,4636000000,5250000000,5737000000,7197000000,8566000000,9586000000,10489000000,11578000000,11683000000,12618000000,13688000000,14259000000,15016000000,15979000000,16584000000,17277000000,18615000000,20049000000,22717000000,26885000000,30802000000,30746000000,37656000000,42762000000,47231000000,50949000000,52017000000,56442000000,58847000000,60517000000,62422000000,64412000000,62382000000,64954000000,69235000000,86509000000,95365000000,102591000000,108600000000,115153000000,122141000000,129377000000,137040000000
Croatia,191,,,,,,,,,,,,,568000000,7358000000,16669000000,20657000000,22104000000,22101000000,23971000000,23593000000,22145000000,23067000000,26739000000,35239000000,41820000000,45035000000,49593000000,59303000000,68469000000,62255000000,59032000000,62889000000,57585000000,59854000000,59628000000,51012000000,52640000000,56166000000,61694000000,61472000000,57919000000,69055000000,71260000000,84416000000,92506000000,98951000000,104903000000,109941000000,115255000000,120670000000,126466000000
